,x,y,player_name,team,position,foot,goals,agg_position
0,7.9761586,8.55048,Jonathan Woodgate,Newcastle United,Left Center Back,Right Foot,0.0,Center Back
1,5.904658,5.1647897,Jamal Julian Campbell-Ryce,Charlton Athletic,Left Center Forward,Right Foot,0.0,Striker
2,9.524167,3.7984972,Jason Joseph Euell,Charlton Athletic,Right Center Forward,Right Foot,0.0,Striker
3,8.097291,8.523913,Chris Perry,Charlton Athletic,Right Center Back,Right Foot,0.0,Center Back
4,8.354272,3.7683446,Stylianos Giannakopoulos,Bolton Wanderers,Right Wing,Right Foot,0.0,Right Wing
5,7.73736,8.283681,"Bruno N""Gotty",Bolton Wanderers,Right Center Back,Right Foot,0.0,Center Back
6,7.1447573,4.172764,Massimo Maccarone,Middlesbrough,Left Center Forward,Right Foot,1.0,Striker
7,3.7792103,4.0112896,Danny Mills,Middlesbrough,Right Back,Right Foot,0.0,Right Back
8,5.168153,8.153866,Franck Queudrue,Middlesbrough,Left Back,Left Foot,0.0,Left Back
9,7.2217717,7.400716,Ugo Ehiogu,Middlesbrough,Right Center Back,Right Foot,0.0,Center Back
10,9.478598,3.1049724,Joseph-Desiré Job,Middlesbrough,Left Center Forward,Right Foot,0.0,Striker
11,6.9961634,4.2370715,Collins John,Fulham,Right Midfield,Right Foot,0.0,Right Wing
12,9.124839,4.2419944,Brian McBride,Fulham,Left Center Midfield,Right Foot,0.0,Center Midfield
13,7.8893538,6.881085,Ian Pearce,Fulham,Right Center Back,Right Foot,0.0,Center Back
14,6.815424,5.669239,Alain Goma,Fulham,Left Center Back,Right Foot,0.0,Center Back
15,3.6717856,6.359279,Luís Boa Morte Pereira,Fulham,Center Forward,Left Foot,0.0,Striker
16,4.563033,7.9107385,Carlos Manuel Bocanegra,Fulham,Left Back,Left Foot,0.0,Left Back
17,6.7953644,5.690583,Martin Djetou,Fulham,Right Midfield,Right Foot,0.0,Right Wing
18,6.618225,4.9300222,Ibrahim Ba,Bolton Wanderers,Center Defensive Midfield,Left Foot,0.0,Defensive Midfield
19,6.072867,4.929425,Henrik Pedersen,Bolton Wanderers,Left Wing,Left Foot,0.5,Left Wing
20,8.170989,4.1872544,Kevin Nolan,Bolton Wanderers,Right Center Midfield,Right Foot,0.0,Center Midfield
21,8.16092,8.410852,Émerson Augusto Thome,Bolton Wanderers,Left Center Back,Right Foot,0.0,Center Back
22,4.4174523,3.1260612,"Augustine Azuka ""Jay-Jay"" Okocha",Bolton Wanderers,Left Center Midfield,Right Foot,0.0,Center Midfield
23,3.906547,8.310007,Ricardo Wayne Gardner,Bolton Wanderers,Left Back,Left Foot,0.0,Left Back
24,8.418089,6.966109,Iván Campo Ramos,Bolton Wanderers,Center Defensive Midfield,Right Foot,0.5,Defensive Midfield
25,5.0606675,8.396491,Simon Charlton,Bolton Wanderers,Left Back,Left Foot,0.0,Left Back
26,10.36488,2.9395177,Kevin Cyril Davies,Bolton Wanderers,Center Forward,Right Foot,0.0,Striker
27,-1.7892901,7.5190363,Jussi Jääskeläinen,Bolton Wanderers,Goalkeeper,Right Foot,0.0,Goalkeeper
28,3.8785625,2.9776843,Nicky Hunt,Bolton Wanderers,Right Back,Right Foot,0.0,Right Back
29,6.81098,2.4712715,Youri Djorkaeff,Bolton Wanderers,Left Midfield,Right Foot,0.0,Left Wing
