,club_name,long_name,player_face_url,club_logo_url,nation_flag_url
510,Liverpool,James Philip Milner,https://cdn.sofifa.net/players/138/412/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png
15,Liverpool,Virgil van Dijk,https://cdn.sofifa.net/players/203/376/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/nl.png
42,Liverpool,Andrew Robertson,https://cdn.sofifa.net/players/216/267/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-sct.png
1618,Liverpool,Loris Karius,https://cdn.sofifa.net/players/203/775/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/de.png
1508,Brighton & Hove Albion,Adam David Lallana,https://cdn.sofifa.net/players/180/819/22_120.png,https://cdn.sofifa.net/teams/1808/60.png,https://cdn.sofifa.net/flags/gb-eng.png
158,Liverpool,Joël Andre Job Matip,https://cdn.sofifa.net/players/197/061/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/cm.png
61,Liverpool,Fábio Henrique Tavares,https://cdn.sofifa.net/players/209/499/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/br.png
1294,Liverpool,Divock Okoth Origi,https://cdn.sofifa.net/players/213/135/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/be.png
257,Liverpool,Joe Gomez,https://cdn.sofifa.net/players/225/100/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png
663,Lazio,José Manuel Reina Páez,https://cdn.sofifa.net/players/024/630/22_120.png,https://cdn.sofifa.net/teams/46/60.png,https://cdn.sofifa.net/flags/es.png
1003,Tottenham Hotspur,Harry Winks,https://cdn.sofifa.net/players/222/400/22_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/gb-eng.png
318,Tottenham Hotspur,Lucas Rodrigues Moura da Silva,https://cdn.sofifa.net/players/200/949/22_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/br.png
14718,Rangers FC,Stephen Kelly,https://cdn.sofifa.net/players/246/121/22_120.png,https://cdn.sofifa.net/teams/86/60.png,https://cdn.sofifa.net/flags/gb-sct.png
1155,Leicester City,Ryan Bertrand,https://cdn.sofifa.net/players/169/705/22_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/gb-eng.png
3180,FC Nantes,Fábio Pereira da Silva,https://cdn.sofifa.net/players/189/680/22_120.png,https://cdn.sofifa.net/teams/71/60.png,https://cdn.sofifa.net/flags/br.png
293,SL Benfica,Jan Vertonghen,https://cdn.sofifa.net/players/172/871/22_120.png,https://cdn.sofifa.net/teams/234/60.png,https://cdn.sofifa.net/flags/be.png
714,Hertha BSC,Anga Dedryck Boyata,https://cdn.sofifa.net/players/197/837/22_120.png,https://cdn.sofifa.net/teams/166/60.png,https://cdn.sofifa.net/flags/be.png
4,Manchester City,Kevin De Bruyne,https://cdn.sofifa.net/players/192/985/22_120.png,https://cdn.sofifa.net/teams/10/60.png,https://cdn.sofifa.net/flags/be.png
936,Borussia Dortmund,Thomas Meunier,https://cdn.sofifa.net/players/202/371/22_120.png,https://cdn.sofifa.net/teams/22/60.png,https://cdn.sofifa.net/flags/be.png
25,Chelsea,Romelu Lukaku Menama,https://cdn.sofifa.net/players/192/505/22_120.png,https://cdn.sofifa.net/teams/5/60.png,https://cdn.sofifa.net/flags/be.png
142,Borussia Dortmund,Axel Witsel,https://cdn.sofifa.net/players/177/413/22_120.png,https://cdn.sofifa.net/teams/22/60.png,https://cdn.sofifa.net/flags/be.png
100,Napoli,Dries Mertens,https://cdn.sofifa.net/players/175/943/22_120.png,https://cdn.sofifa.net/teams/48/60.png,https://cdn.sofifa.net/flags/be.png
75,Real Madrid CF,Eden Hazard,https://cdn.sofifa.net/players/183/277/22_120.png,https://cdn.sofifa.net/teams/243/60.png,https://cdn.sofifa.net/flags/be.png
514,Guangzhou City,Mousa Sidi Yaya Dembélé,https://cdn.sofifa.net/players/162/240/22_120.png,https://cdn.sofifa.net/teams/112429/60.png,https://cdn.sofifa.net/flags/be.png
231,Borussia Dortmund,Thorgan Hazard,https://cdn.sofifa.net/players/203/486/22_120.png,https://cdn.sofifa.net/teams/22/60.png,https://cdn.sofifa.net/flags/be.png
1214,İstanbul Başakşehir FK,Nacer Chadli,https://cdn.sofifa.net/players/200/529/22_120.png,https://cdn.sofifa.net/teams/101014/60.png,https://cdn.sofifa.net/flags/be.png
1498,Shandong Taishan,Marouane Fellaini-Bakkioui,https://cdn.sofifa.net/players/176/944/22_120.png,https://cdn.sofifa.net/teams/111724/60.png,https://cdn.sofifa.net/flags/be.png
129,Leicester City,Youri Tielemans,https://cdn.sofifa.net/players/216/393/22_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/be.png
970,Wolverhampton Wanderers,Leander Dendoncker,https://cdn.sofifa.net/players/212/501/22_120.png,https://cdn.sofifa.net/teams/110/60.png,https://cdn.sofifa.net/flags/be.png
720,Torino F.C.,Dennis Praet,https://cdn.sofifa.net/players/199/652/22_120.png,https://cdn.sofifa.net/teams/54/60.png,https://cdn.sofifa.net/flags/be.png
460,Olympique Lyonnais,Jason Denayer,https://cdn.sofifa.net/players/220/182/22_120.png,https://cdn.sofifa.net/teams/66/60.png,https://cdn.sofifa.net/flags/be.png
950,Brighton & Hove Albion,Leandro Trossard,https://cdn.sofifa.net/players/207/421/22_120.png,https://cdn.sofifa.net/teams/1808/60.png,https://cdn.sofifa.net/flags/be.png
1517,Crystal Palace,Christian Benteke Liolo,https://cdn.sofifa.net/players/184/111/22_120.png,https://cdn.sofifa.net/teams/1799/60.png,https://cdn.sofifa.net/flags/be.png
723,Club Brugge KV,Hans Vanaken,https://cdn.sofifa.net/players/200/155/22_120.png,https://cdn.sofifa.net/teams/231/60.png,https://cdn.sofifa.net/flags/be.png
607,Leicester City,Timothy Castagne,https://cdn.sofifa.net/players/222/501/22_120.png,https://cdn.sofifa.net/teams/95/60.png,https://cdn.sofifa.net/flags/be.png
765,Atalanta,Aleksey Miranchuk,https://cdn.sofifa.net/players/214/092/22_120.png,https://cdn.sofifa.net/teams/39/60.png,https://cdn.sofifa.net/flags/ru.png
694,,Artem Dzyuba,https://cdn.sofifa.net/players/187/607/22_120.png,,https://cdn.sofifa.net/flags/ru.png
390,PFC CSKA Moscow,Igor Akinfeev,https://cdn.sofifa.net/players/148/119/22_120.png,https://cdn.sofifa.net/teams/315/60.png,https://cdn.sofifa.net/flags/ru.png
3876,Antalyaspor,Fedor Kudryashov,https://cdn.sofifa.net/players/181/795/22_120.png,https://cdn.sofifa.net/teams/741/60.png,https://cdn.sofifa.net/flags/ru.png
758,Spartak Moskva,Roman Zobnin,https://cdn.sofifa.net/players/213/160/22_120.png,https://cdn.sofifa.net/teams/100767/60.png,https://cdn.sofifa.net/flags/ru.png
4077,Spartak Moskva,Ilya Kutepov,https://cdn.sofifa.net/players/210/468/22_120.png,https://cdn.sofifa.net/teams/100767/60.png,https://cdn.sofifa.net/flags/ru.png
220,PFC CSKA Moscow,Mário Figueira Fernandes,https://cdn.sofifa.net/players/193/525/22_120.png,https://cdn.sofifa.net/teams/315/60.png,https://cdn.sofifa.net/flags/ru.png
1759,,Daler Kuzyaev,https://cdn.sofifa.net/players/223/058/22_120.png,,https://cdn.sofifa.net/flags/ru.png
616,AS Monaco,Aleksandr Golovin,https://cdn.sofifa.net/players/225/663/22_120.png,https://cdn.sofifa.net/teams/69/60.png,https://cdn.sofifa.net/flags/ru.png
1180,PFC CSKA Moscow,Alan Dzagoev,https://cdn.sofifa.net/players/187/735/22_120.png,https://cdn.sofifa.net/teams/315/60.png,https://cdn.sofifa.net/flags/ru.png
3038,PFC CSKA Moscow,Igor Diveev,https://cdn.sofifa.net/players/245/703/22_120.png,https://cdn.sofifa.net/teams/315/60.png,https://cdn.sofifa.net/flags/ru.png
926,,Magomed Ozdoev,https://cdn.sofifa.net/players/200/094/22_120.png,,https://cdn.sofifa.net/flags/ru.png
1805,FC Lokomotiv Moscow,Dmitriy Barinov,https://cdn.sofifa.net/players/228/675/22_120.png,https://cdn.sofifa.net/teams/100765/60.png,https://cdn.sofifa.net/flags/ru.png
1033,Spartak Moskva,Georgiy Dzhikiya,https://cdn.sofifa.net/players/229/773/22_120.png,https://cdn.sofifa.net/teams/100767/60.png,https://cdn.sofifa.net/flags/ru.png
3721,,Matvey Safonov,https://cdn.sofifa.net/players/240/225/22_120.png,,https://cdn.sofifa.net/flags/ru.png
2170,,Vyacheslav Karavaev,https://cdn.sofifa.net/players/219/409/22_120.png,,https://cdn.sofifa.net/flags/ru.png
2305,FC Lokomotiv Moscow,Rifat Zhemaletdinov,https://cdn.sofifa.net/players/233/290/22_120.png,https://cdn.sofifa.net/teams/100765/60.png,https://cdn.sofifa.net/flags/ru.png
